	authors	date	fast_subjects	genders	owi	rank	streak	title	year	year_pub	genre	gender
33555	['Frederick Forsyth']	2006-10-01	set(['Terrorism--Prevention', 'Qaida (Organization)', 'Islamic fundamentalism', 'Intelligence service', 'Infiltration (Military science)', 'Terrorism', 'United States', 'Military intelligence'])	[{'gender': 'Male', 'viaf': '108216096', 'name': 'Frederick Forsyth'}]	51339779	10	4	THE AFGHAN	2006	2006	no genre	Male
33556	['Max Brooks']	2006-10-01	set(['War stories', 'War correspondents', 'Epidemics', 'Survival', 'Science fiction', 'Imaginary wars and battles', 'Zombies', 'War', 'Horror tales'])	[{'gender': 'Male', 'viaf': '40456445', 'name': 'Max Brooks'}]	864047098	11	1	WORLD WAR Z	2006	2006	horror	Male
33557	['Mark Haddon']	2006-10-01	set(['Man-woman relationships', 'England', 'Dysfunctional families', 'Weddings', 'Older men', 'Mental illness', 'Middle-aged men', 'Psychological fiction', 'Mortality'])	[{'gender': 'Male', 'viaf': '85413157', 'name': 'Mark Haddon'}]	52470592	12	1	A SPOT OF BOTHER	2006	2002	no genre	Male
33558	['Mark Z. Danielewski']	2006-10-01	set([])	[{'gender': 'Male', 'viaf': '117936153', 'name': 'Mark Z. Danielewski'}]	48390663	13	1	ONLY REVOLUTIONS	2006	2006	needs label	Male
33559	['Jodi Picoult']	2009-04-12	set(['Osteogenesis imperfecta--Patients', 'Families', 'Physicians--Malpractice', 'Osteogenesis imperfecta', 'Mothers--Psychology', 'Physician and patient--Moral and ethical aspects', 'Medical care, Cost of', 'Wrongful life', 'Parents of children with disabilities'])	[{'gender': 'Female', 'viaf': '37821799', 'name': 'Jodi Picoult'}]	139223575	2	4	HANDLE WITH CARE	2009	2006	no genre	Female
33560	['Aaron Allston']	2009-04-12	set(['Organa, Leia (Fictitious character)', 'Skywalker, Luke (Fictitious character)', 'Solo, Han (Fictitious character)'])	[{'gender': 'Male', 'viaf': '48443164', 'name': 'Aaron Allston'}]	3943570832	3	1	OUTCAST	2009	2009	no genre	Male
33561	['John Grisham']	2009-04-12	set(['Courts', 'Law firms--Corrupt practices', 'Suspense fiction', 'Theft', 'Legal stories', 'Extortion', 'Law firms', 'Honesty'])	[{'gender': 'Male', 'viaf': '7449742', 'name': 'John Grisham'}]	156556253	4	9	THE ASSOCIATE	2009	2008	legal	Male
33562	['Stephenie Meyer']	2009-04-12	set(['Young adult fiction', 'Romance fiction', 'Betrayal', 'Biological invasions', 'Science fiction', 'Triangles (Interpersonal relations)', 'Human-alien encounters', 'Spirit possession'])	[{'gender': 'Female', 'viaf': '102313919', 'name': 'Stephenie Meyer'}]	3901167148	5	46	THE HOST	2009	2008	romance	Female
33563	['Clive Cussler', 'Jack Du Brul']	2009-04-12	set(['Ship captains', 'United States', 'Pirates', 'Libya', 'Terrorism--Prevention', 'Suspense fiction', 'Sea stories', 'Missing persons', 'Mercenary troops', 'Cabrillo, Juan (Fictitious character)'])	[{'gender': 'Male', 'viaf': '56608054', 'name': 'Clive Cussler'}, {'gender': 'Male', 'viaf': '34736428', 'name': 'Jack Du Brul'}]	164914330	6	3	CORSAIR	2009	2006	adventure	Male
33564	['James Patterson', 'Michael Ledwidge']	2009-04-12	set(['Rich people', 'Bennett, Michael (Fictitious character)', 'Police', 'Serial murder investigation', 'New York (State)--New York', 'Serial murderers'])	[{'gender': 'Male', 'viaf': '22272314', 'name': 'James Patterson'}, {'gender': 'Male', 'viaf': '120619060', 'name': 'Michael Ledwidge'}]	135826113	7	8	RUN FOR YOUR LIFE	2009	2008	no genre	Male
33565	['Karen Robards']	2009-04-12	"set(['Washington (D.C.)', 'Traffic accidents', 'Adultery', 'Women lawyers', 'Traffic accident investigation', ""Presidents' spouses"", 'Conspiracies'])"	[{'gender': 'Female', 'viaf': '84513700', 'name': 'Karen Robards'}]	3372886583	8	1	PURSUIT	2009	2009	no genre	Female
33566	['Mary Ann']	2009-04-12	set(['England', 'Great Britain Miscellaneous Island Dependencies--Channel Islands', 'Influence (Literary, artistic, etc.)', 'England--London', 'Women authors', 'World War (1939-1945)', 'Great Britain Miscellaneous Island Dependencies--Guernsey', 'German Occupation of the Channel Islands (1940-1945)', 'Book clubs (Discussion groups)', 'Friendship'])	[{'gender': 'Female', 'viaf': '79570919', 'name': 'Mary Ann'}]	1862857905	9	28	THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY	2009	1020	no genre	Female
33567	['Anne Perry']	2009-04-12	set(['Monk, William (Fictitious character)', 'Police', 'Brothels', 'Murder--Investigation', 'England--London', 'Great Britain', 'Child prostitution', 'Social conditions'])	[{'gender': 'Female', 'viaf': '85532550', 'name': 'Anne Perry'}]	179103596	10	1	EXECUTION DOCK	2009	2009	no genre	Female
33568	['Maeve Binchy']	2009-04-12	set(['English fiction--Irish authors', 'Heart failure clinics', 'Ireland', 'Ireland--Dublin', 'Polish people', 'Clergy', 'Women physicians', 'Cardiologists', 'Mothers and daughters'])	[{'gender': 'Female', 'viaf': '113069974', 'name': 'Maeve Binchy'}]	137910341	11	6	HEART AND SOUL	2009	2008	no genre	Female
33569	['Walter Mosley']	2009-04-12	set(['Private investigators', 'New York (State)--New York', 'Gangs', 'Fathers and sons', 'American fiction--African American authors', 'New York (N.Y.). Police Department', 'New York (State)'])	[{'gender': 'Male', 'viaf': '4979209', 'name': 'Walter Mosley'}]	139722439	12	1	THE LONG FALL	2009	2009	no genre	Male
33570	['J. D. Robb']	2009-04-12	set(['New York (State)--New York', 'Women detectives', 'Police murders', 'Policewomen', 'Dallas, Eve (Fictitious character)', 'Police'])	[{'gender': 'Female', 'viaf': '43552467', 'name': 'J. D. Robb'}]	139722516	13	5	PROMISES IN DEATH	2009	2008	no genre	Female
33571	['Robert B. Parker']	2009-04-12	set(['Sex crimes--Investigation', 'Stone, Jesse (Fictitious character)', 'Police chiefs', 'Voyeurism', 'Massachusetts'])	[{'gender': 'Male', 'viaf': '101763416', 'name': 'Robert B. Parker'}]	374522302	14	5	NIGHT AND DAY	2009	2009	no genre	Male
33574	['Danielle Steel']	2006-03-26	set(['Physicians', 'Mothers and sons', 'Romance fiction', 'Widowhood', 'Mansions', 'Women lawyers', 'Dwellings--Remodeling', 'Architects', 'Bereavement--Psychological aspects', 'Abandoned houses', 'California--San Francisco', 'California, Northern', 'Widows', 'Domestic fiction', 'Legacies'])	[{'gender': 'Female', 'viaf': '100238676', 'name': 'Danielle Steel'}]	6392822	4	2	THE HOUSE	2006	2000	domestic	Female
33575	['Stephen King']	2006-03-26	set(['Cell phones', 'Psychological fiction', 'Murderers', 'Virus diseases'])	[{'gender': 'Male', 'viaf': '97113511', 'name': 'Stephen King'}]	47037126	5	7	CELL	2006	1986	no genre	Male
33577	['Raymond Khoury']	2006-03-26	set(['Theft from museums', 'Employees', 'Government investigators', 'Antiquities', 'United States. Federal Bureau of Investigation', 'Templars', 'Vatican City', 'New York (State)--New York', 'Women archaeologists', 'Knights Templar (Masonic order)'])	[{'gender': 'Male', 'viaf': '8499147', 'name': 'Raymond Khoury'}]	20873353	7	8	THE LAST TEMPLAR	2006	1464	no genre	Male
33578	['Jeffrey Archer']	2006-03-26	set(['Rich people', 'New York (State)--New York', 'Gogh, Vincent van, 1853-1890', 'Revenge', 'Murder victims', 'September 11 Terrorist Attacks (2001)', 'Missing persons', 'Art thefts', 'Detective and mystery stories, English'])	[{'gender': 'Male', 'viaf': '110249804', 'name': 'Jeffrey Archer'}]	46288755	8	1	FALSE IMPRESSION	2006	2005	no genre	Male
33579	['Sarah Dunant']	2006-03-26	set(['Courtesans', 'Italy', 'Turkish Wars (Venice : 1453-1571)', 'Blind women', 'Dwarfs', 'Italy--Venice'])	[{'gender': 'Female', 'viaf': '90718533', 'name': 'Sarah Dunant'}]	49238281	9	4	IN THE COMPANY OF THE COURTESAN	2006	1995	no genre	Female
33580	['Thomas Perry']	2006-03-26	set(['Police', 'Serial murders', 'Women murderers', 'Policewomen', 'Oregon--Portland', 'Serial murder investigation', 'Detective and mystery stories, American'])	[{'gender': 'Male', 'viaf': '69768921', 'name': 'Thomas Perry'}]	47452513	10	1	NIGHTLIFE	2006	2001	no genre	Male
33581	['Edward Rutherfurd']	2006-03-26	set(['Protestants', 'Famine (Ireland : 1845-1852)', 'Ireland--Dublin', 'Emigration and immigration', 'Ireland', 'Social conditions', 'Catholic Church'])	[{'gender': 'Male', 'viaf': '34666', 'name': 'Edward Rutherfurd'}]	392206264	11	2	THE REBELS OF IRELAND	2006	1984	no genre	Male
33582	['Kate Mosse']	2006-03-26	set(['Excavations (Archaeology)', 'France', 'Pyrenees', 'Grail', 'Albigenses', 'Volunteers', 'France, Southwest', 'Time travel'])	[{'gender': 'Female', 'viaf': '119509288', 'name': 'Kate Mosse'}]	426599	12	1	LABYRINTH	2006	2003	no genre	Female
33583	['Robert Crais']	2006-03-26	set(['California--Los Angeles', 'Police corruption', 'Ex-convicts', 'Drive-by shootings', 'Revenge', 'Murder--Investigation'])	[{'gender': 'Male', 'viaf': '110237124', 'name': 'Robert Crais'}]	46715633	13	3	THE TWO MINUTE RULE	2006	2006	no genre	Male
33584	['Stephen White']	2006-03-26	set(['Gregory, Alan (Fictitious character)', 'Terminally ill', 'Psychological fiction', 'Euthanasia'])	[{'gender': 'Male', 'viaf': '85314607', 'name': 'Stephen White'}]	793816715	14	1	KILL ME	2006	2005	no genre	Male
33585	['Janet Evanovich']	2007-07-15	set(['Missing persons--Investigation', 'Divorced people', 'New Jersey', 'Plum, Stephanie (Fictitious character)', 'New Jersey--Trenton', 'Bail bond agents', 'Bounty hunters', 'Women bounty hunters'])	[{'gender': 'Female', 'viaf': '54180657', 'name': 'Janet Evanovich'}]	69626249	2	2	LEAN MEAN THIRTEEN	2007	2003	no genre	Female
33586	['Danielle Steel']	2007-07-15	set(['California--Los Angeles--Hollywood', 'California--Los Angeles', 'Romance fiction', 'Mothers', 'United States', 'California', 'Women screenwriters', 'Motion picture industry', 'Families'])	[{'gender': 'Female', 'viaf': '100238676', 'name': 'Danielle Steel'}]	53983463	3	1	BUNGALOW 2	2007	2006	no genre	Female
33587	['Catherine Coulter']	2007-07-15	set(['Savich, Dillon (Fictitious character)', 'Sherlock, Lacey (Fictitious character)', 'Government investigators', 'California--San Francisco', 'United States. Federal Bureau of Investigation'])	[{'gender': 'Female', 'viaf': '84052393', 'name': 'Catherine Coulter'}]	69733517	4	3	DOUBLE TAKE	2007	2007	no genre	Female
33588	['Jackie Collins']	2007-07-15	set(['California--Los Angeles', 'Romance fiction', 'Santangelo, Lucky (Fictitious character)', 'Motion picture industry', 'Businesswomen', 'Nevada--Las Vegas'])	[{'gender': 'Female', 'viaf': '100253982', 'name': 'Jackie Collins'}]	58682454	5	1	DROP DEAD BEAUTIFUL	2007	2007	no genre	Female
33589	['Clive Cussler with Paul Kemprecos']	2007-07-15	set(['Austin, Kurt (Fictitious character)', 'Murder', 'Antiquities', 'Archaeological thefts', 'Marine scientists', 'Iraq War (2003-2011)', 'Iraq', 'Destruction and pillage'])	[{'gender': 'Male', 'viaf': '49392125', 'name': 'Clive Cussler with Paul Kemprecos'}]	872857	6	4	THE NAVIGATOR	2007		no genre	Male
33590	['Richard Bachman']	2007-07-15	set(['Kidnapping', 'Criminals', 'Maine', 'Antiheroes'])	[{'gender': 'Male', 'viaf': '14790462', 'name': 'Richard Bachman'}]	69625331	7	3	BLAZE	2007	1996	no genre	Male
33591	['W. E. B. Griffin', 'William E. Butterworth IV']	2007-07-15	set(['United States', 'Secret service', 'World War (1939-1945)', 'United States. Office of Strategic Services'])	[{'gender': 'Male', 'viaf': '305233686', 'name': 'W. E. B. Griffin'}, {'gender': 'Male', 'viaf': '23613502', 'name': 'William E. Butterworth IV'}]	63133518	8	1	THE DOUBLE AGENTS	2007	2006	no genre	Male
33592	['Eric Van Lustbader']	2007-07-15	set(['Assassins', 'Terrorists', 'Bourne, Jason (Fictitious character)', 'Spy stories', 'Intelligence officers'])	[{'gender': 'Male', 'viaf': '99512281', 'name': 'Eric Van Lustbader'}]	2591138347	9	4	THE BOURNE BETRAYAL	2007	2004	no genre	Male
33594	['Lisa See']	2007-07-15	set(['Lovesickness', 'Opera', 'Poetry', 'China', 'Future life', 'Young women', 'Manners and customs', 'Operas, Chinese', 'Women'])	[{'gender': 'Female', 'viaf': '85633607', 'name': 'Lisa See'}]	64125415	11	1	PEONY IN LOVE	2007	1999	no genre	Female
33595	['Dean Koontz']	2007-07-15	set(['Murder for hire', 'Suspense fiction', 'Mistaken identity'])	[{'gender': 'Male', 'viaf': '110880758', 'name': 'Dean Koontz'}]	64284051	12	5	THE GOOD GUY	2007	2003	no genre	Male
33596	['Ian McEwan']	2007-07-15	set(['Virginity', 'Intimacy (Psychology)', 'England', 'College students', 'Married people', 'England--London', 'Man-woman relationships', 'England--Dorset', 'Women musicians', 'Honeymoons'])	[{'gender': 'Male', 'viaf': '109587997', 'name': 'Ian McEwan'}]	62574401	13	4	ON CHESIL BEACH	2007	2007	no genre	Male
33598	['Nelson DeMille']	2012-11-11	set(['Ex-police officers', 'Revenge', 'Terrorism--Prevention', 'Yemen (Republic)', 'Cole (Ship)', 'Corey, John (Fictitious character)', 'Terrorism'])	[{'gender': 'Male', 'viaf': '107015556', 'name': 'Nelson DeMille'}]	1120814052	2	2	THE PANTHER	2012	2012	no genre	Male
33600	['Tom Wolfe']	2012-11-11	set(['Florida--Miami', 'Emigration and immigration', 'Politicians', 'Police', 'Political fiction'])	[{'gender': 'Male', 'viaf': '119067502', 'name': 'Tom Wolfe'}]	1109372439	4	1	BACK TO BLOOD	2012	2012	no genre	Male
33601	['Karen Kingsbury']	2012-11-11	set(['Tennessee--Franklin', 'Man-woman relationships', 'Bookstores--Employees', 'Flood damage', 'Christmas stories', 'Christian fiction', 'Religion', 'Tennessee', 'Bookstores', 'Life change events--Psychological aspects'])	[{'gender': 'Female', 'viaf': '69207468', 'name': 'Karen Kingsbury'}]	1080076095	5	1	THE BRIDGE	2012	2012	no genre	Female
33605	['Debbie Macomber']	2012-11-11	set(['Miracles', 'Man-woman relationships', 'New York (State)--New York', 'Loneliness', 'Mercy (Fictitious character : Macomber)', 'Christmas stories', 'Shirley (Fictitious character : Macomber)', 'Goodness (Fictitious character : Macomber)', 'Prayer', 'Angels'])	[{'gender': 'Female', 'viaf': '79125942', 'name': 'Debbie Macomber'}]	1122411812	9	1	ANGELS AT THE TABLE	2012	2012	no genre	Female
33609	['Kevin Powers']	2012-11-11	set(['United States', 'Soldiers', 'Iraq War (2003-2011)', 'Iraq'])	[{'gender': 'Male', 'viaf': '250644840', 'name': 'Kevin Powers'}]	1110692360	13	1	THE YELLOW BIRDS	2012	2012	no genre	Male
33612	['Brad Thor']	2011-09-04	set(['Terrorism--Prevention', 'United States', 'Harvath, Scot (Fictitious character)', 'Suspense fiction', 'Intelligence officers'])	[{'gender': 'Male', 'viaf': '65197822', 'name': 'Brad Thor'}]	865548873	3	4	FULL BLACK	2011	2011	no genre	Male
33614	['Douglas Preston', 'Lincoln Child']	2011-09-04	set(['Missing persons--Investigation', 'Detective and mystery stories', 'Conspiracies', 'Pendergast, Aloysius (Fictitious character)', 'Murder--Investigation', 'Government investigators', 'Revenge', 'Suspense fiction', 'Hunting stories'])	[{'gender': 'Male', 'viaf': '57543887', 'name': 'Douglas Preston'}, {'gender': 'Male', 'viaf': '76450949', 'name': 'Lincoln Child'}]	666094348	5	3	COLD VENGEANCE	2011	2011	mystery	Male
33615	['Jim Butcher']	2011-09-04	set(['Private investigators', 'Wizards', 'Dresden, Harry (Fictitious character)', 'Illinois--Chicago'])	[{'gender': 'Male', 'viaf': '32309016', 'name': 'Jim Butcher'}]	483291107	6	4	GHOST STORY	2011	2011	no genre	Male
33616	['Julie Garwood']	2011-09-04	set(['Women detectives', 'Kidnapping', 'Government investigators', 'Witnesses', 'Women physicians', 'South Carolina'])	[{'gender': 'Female', 'viaf': '84050401', 'name': 'Julie Garwood'}]	890824656	7	2	THE IDEAL MAN	2011	1220	no genre	Female
33617	['Daniel Silva']	2011-09-04	set(['Art restorers', 'Allon, Gabriel (Fictitious character)', 'Intelligence officers', 'Terrorism--Prevention', 'England--London', 'Suicide bombings', 'Terrorism'])	[{'gender': 'Male', 'viaf': '101089301', 'name': 'Daniel Silva'}]	906792798	8	5	PORTRAIT OF A SPY	2011	2007	no genre	Male
33618	['W.E.B. Griffin', 'William E. Butterworth IV']	2011-09-04	set(['United States', 'United States. Office of Strategic Services', 'Stalin, Joseph, 1878-1953', 'Intelligence officers'])	[{'gender': 'Male', 'viaf': '305233686', 'name': 'W.E.B. Griffin'}, {'gender': 'Male', 'viaf': '23613502', 'name': 'William E. Butterworth IV'}]	1122007125	9	2	VICTORY AND HONOR	2011	2011	no genre	Male
33620	['James Patterson', 'Michael Ledwidge']	2011-09-04	set(['Suspense fiction, American', 'New York (State)--New York', 'Florida--Key West', 'Murder--Investigation', 'Women lawyers', 'Secrecy', 'Runaway wives', 'Identity (Psychology)'])	[{'gender': 'Male', 'viaf': '22272314', 'name': 'James Patterson'}, {'gender': 'Male', 'viaf': '120619060', 'name': 'Michael Ledwidge'}]	909604285	11	8	NOW YOU SEE HER	2011	1220	no genre	Male
33621	['Ann Patchett']	2011-09-04	set(['Women medical scientists', 'Amazon River Region', 'Women scientists', 'Brazil--Amazonas--Rio Negro', 'Jungles', 'Scientists', 'Medicine--Research'])	[{'gender': 'Female', 'viaf': '54362733', 'name': 'Ann Patchett'}]	863946123	12	11	STATE OF WONDER	2011	2001	no genre	Female
33622	['Amor Towles']	2011-09-04	set(['Nineteen thirties', 'Man-woman relationships', 'New York (State)--New York', 'New York (State)--New York--Wall Street', 'Young women', 'Manners and customs', 'Upper class'])	[{'gender': 'Male', 'viaf': '14629444', 'name': 'Amor Towles'}]	909787657	13	2	RULES OF CIVILITY	2011	2011	no genre	Male
33624	['J. D. Robb']	2006-02-12	set(['Dallas, Eve (Fictitious character)', 'New York (State)--New York', 'Policewomen', 'Police', 'Science fiction'])	[{'gender': 'Female', 'viaf': '43552467', 'name': 'J. D. Robb'}]	19138724	2	1	MEMORY IN DEATH	2006	1984	no genre	Female
33626	['W. E. B. Griffin']	2006-02-12	set(['United States. Army. Delta Force', 'Political corruption', 'Kidnapping victims', 'Americans', 'Argentina', 'Political kidnapping'])	[{'gender': 'Male', 'viaf': '305233686', 'name': 'W. E. B. Griffin'}]	860272	4	4	THE HOSTAGE	2006	2005	no genre	Male
33628	['James Patterson']	2006-02-12	set(['Actresses', 'African American psychologists', 'California--Los Angeles', 'Cross, Alex (Fictitious character)', 'Psychological fiction', 'Serial murders', 'Washington (D.C.)', 'Government investigators', 'Police'])	[{'gender': 'Male', 'viaf': '22272314', 'name': 'James Patterson'}]	157857138	6	11	MARY,  MARY	2006	2005	no genre	Male
33629	['Sue Grafton']	2006-02-12	set(['Missing persons', 'Detective and mystery stories', 'California', 'Millhone, Kinsey (Fictitious character)', 'Women private investigators'])	[{'gender': 'Female', 'viaf': '113386374', 'name': 'Sue Grafton'}]	1011939	7	8	“S” IS FOR SILENCE	2006	1984	no genre	Female
33630	['Judith McNaught']	2006-02-12	set(['Rich people', 'Man-woman relationships', 'Brothers', 'Murder--Investigation', 'Missing persons', 'Anguilla', 'Illinois--Chicago'])	[{'gender': 'Female', 'viaf': '67332444', 'name': 'Judith McNaught'}]	9727671	8	5	EVERY BREATH YOU TAKE	2006	1984	no genre	Female
33631	['John Lescroart']	2006-02-12	set(['Homicide', 'Private investigators', 'Detective and mystery stories', 'California', 'California--San Francisco', 'Missing persons', 'Child welfare'])	[{'gender': 'Male', 'viaf': '64797966', 'name': 'John Lescroart'}]	46267471	9	1	THE HUNT CLUB	2006	2002	no genre	Male
33632	['Lilian Jackson Braun']	2006-02-12	set(['Moose County (Imaginary place)', 'Millionaires', 'Siamese cat', 'Cat owners', 'Cats', 'Country life', 'Yum Yum (Fictitious character : Braun)', 'Koko (Fictitious character)', 'Qwilleran, Jim (Fictitious character)'])	[{'gender': 'Female', 'viaf': '101947685', 'name': 'Lilian Jackson Braun'}]	901866	10	3	THE CAT WHO DROPPED A BOMBSHELL	2006	2005	no genre	Female
33633	['Nicholas Sparks']	2006-02-12	set(['Man-woman relationships', 'Married people', 'Science writers', 'North Carolina', 'Apparitions', 'Cemeteries', 'Suspense fiction', 'Pregnancy', 'Pregnant women'])	[{'gender': 'Male', 'viaf': '117604749', 'name': 'Nicholas Sparks'}]	722383	11	15	AT FIRST SIGHT	2006	1984	no genre	Male
33634	['Greg Iles']	2006-02-12	set(['Male friendship', 'Murder--Investigation', 'Attorney and client', 'Teenage girls--Crimes against', 'Trials (Murder)', 'Mississippi--Natchez', 'Legal stories', 'Cage, Penn (Fictitious character)'])	[{'gender': 'Male', 'viaf': '72241064', 'name': 'Greg Iles'}]	46089194	12	5	TURNING ANGEL	2006	2005	no genre	Male
33635	['Jayne Ann Krentz']	2006-02-12	"set(['Man-woman relationships', 'Women journalists', 'Hotelkeepers', 'California, Northern', ""Murder victims' families""])"	[{'gender': 'Female', 'viaf': '100961277', 'name': 'Jayne Ann Krentz'}]	36122	13	4	ALL NIGHT LONG	2006	2005	no genre	Female
33636	['Linda Fairstein']	2006-02-12	set(['Women lawyers', 'Cooper, Alexandra (Fictitious character)', 'New York (State)--New York', 'Public prosecutors'])	[{'gender': 'Female', 'viaf': '85486730', 'name': 'Linda Fairstein'}]	3999216564	14	2	DEATH DANCE	2006	2005	no genre	Female
33639	['Tom Clancy with Mark Greaney']	2012-01-15	set(['Terrorism--Prevention', 'Intelligence officers', 'United States', 'Ryan, Jack, Sr. (Fictitious character)', 'Clark, John (Fictitious character)', 'Suspense fiction', 'Presidential candidates', 'Undercover operations'])	[{'gender': 'Male', 'viaf': '101507848', 'name': 'Tom Clancy with Mark Greaney'}]	1037384265	4	3	LOCKED ON	2012		no genre	Male
33640	['James Patterson']	2012-01-15	set(['Washington (D.C.)', 'Kidnapping--Investigation', 'Cross, Alex (Fictitious character)', 'Police', 'Children of presidents', 'Kidnapping', 'Suspense fiction', 'African American detectives', 'Drinking water--Contamination'])	[{'gender': 'Male', 'viaf': '22272314', 'name': 'James Patterson'}]	908407687	5	7	KILL ALEX CROSS	2012	2011	no genre	Male
33643	['Patricia Cornwell']	2012-01-15	set(['Georgia', 'New York (State)--New York', 'Murder--Investigation', 'Women pathologists', 'Women physicians', 'Forensic pathologists', 'Medical examiners (Law)', 'Scarpetta, Kay (Fictitious character)'])	[{'gender': 'Female', 'viaf': '36976332', 'name': 'Patricia Cornwell'}]	935262882	8	4	RED MIST	2012	2011	no genre	Female
33645	['Janet Evanovich']	2012-01-15	set(['Detective and mystery stories', 'New Jersey', 'Plum, Stephanie (Fictitious character)', 'New Jersey--Trenton', 'Bail bond agents', 'Women bounty hunters'])	[{'gender': 'Female', 'viaf': '54180657', 'name': 'Janet Evanovich'}]	919576190	10	6	EXPLOSIVE EIGHTEEN	2012	2006	no genre	Female
33646	['Tami Hoag']	2012-01-15	set(['California--Santa Barbara', 'Forensic sciences', 'Suspense fiction', 'Children--Crimes against', 'Abduction', 'Missing persons'])	[{'gender': 'Female', 'viaf': '85444183', 'name': 'Tami Hoag'}]	970131629	11	1	DOWN THE DARKEST ROAD	2012	2011	no genre	Female
33647	['Michael Connelly']	2012-01-15	set(['California--Los Angeles', 'Police', 'Political corruption', 'Murder--Investigation', 'Bosch, Harry', 'Cold cases (Criminal investigation)', 'Serial murder investigation', 'Police corruption', 'Serial murderers'])	[{'gender': 'Male', 'viaf': '19745715', 'name': 'Michael Connelly'}]	958652599	12	5	THE DROP	2012	2006	no genre	Male
33648	['Michael Crichton', 'Richard Preston']	2012-01-15	set(['Microbiologists', 'Hawaii--Oahu', 'Microorganisms', 'Rain forests', 'Hawaii', 'Graduate students', 'Suspense fiction', 'Nanotechnology'])	[{'gender': 'Male', 'viaf': '89578936', 'name': 'Michael Crichton'}, {'gender': 'Male', 'viaf': '69027333', 'name': 'Richard Preston'}]	919343513	13	6	MICRO	2012	2008	no genre	Male
