	authors	date	fast_subjects	genders	owi	rank	streak	title	year	year_pub	genre	gender
33445	['Janet Evanovich', 'Lee Goldberg']	2014-03-16	set(['Women detectives', 'Theft from museums', 'Classical antiquities thefts', 'Employees', 'Government investigators', 'United States. Federal Bureau of Investigation', 'Swindlers and swindling', 'Undercover operations'])	[{'gender': 'Female', 'viaf': '54180657', 'name': 'Janet Evanovich'}, {'gender': 'Male', 'viaf': '29601128', 'name': 'Lee Goldberg'}]	1412721739	3	1	THE CHASE	2014	2013	no genre	Both
33446	['James Patterson', 'Mark Sullivan']	2014-03-16	set(['Private investigators', 'Celebrities', 'California--Los Angeles', 'California', 'Private security services', 'Missing persons'])	[{'gender': 'Male', 'viaf': '22272314', 'name': 'James Patterson'}, {'gender': 'Male', 'viaf': '2614282', 'name': 'Mark Sullivan'}]	3902471627	4	3	PRIVATE L.A.	2014	2013	no genre	Male
33447	['J. D. Robb']	2014-03-16	set(['Dallas, Eve (Fictitious character)', 'New York (State)--New York', 'Policewomen'])	[{'gender': 'Female', 'viaf': '43552467', 'name': 'J. D. Robb'}]	1744466317	5	2	CONCEALED IN DEATH	2014	2014	no genre	Female
33449	['Joanne Fluke']	2014-03-16	set(['Bakeries', 'Women detectives', 'Murder--Investigation', 'Minnesota', 'Women private investigators', 'Swensen, Hannah (Fictitious character)', 'Bakers'])	[{'gender': 'Female', 'viaf': '31188823', 'name': 'Joanne Fluke'}]	1359604426	7	1	BLACKBERRY PIE MURDER	2014	2014	no genre	Female
33450	['Anna Quindlen']	2014-03-16	set(['Country life', 'Wilderness areas', 'Man-woman relationships', 'Women photographers', 'Life change events'])	[{'gender': 'Female', 'viaf': '40314167', 'name': 'Anna Quindlen'}]	1781374417	8	5	STILL LIFE WITH BREAD CRUMBS	2014	2014	no genre	Female
33451	['B. J. Novak']	2014-03-16	set(['Short stories, American', 'Humorous stories', 'Short stories', 'American wit and humor'])	[{'gender': 'Male', 'viaf': '293498507', 'name': 'B. J. Novak'}]	1750113851	9	4	ONE MORE THING	2014	2014	no genre	Male
33453	['Jonathan Kellerman']	2014-03-16	set(['California--Los Angeles', 'Police', 'Delaware, Alex (Fictitious character)', 'Serial murders', 'Sturgis, Milo (Fictitious character)', 'Psychopaths', 'Mentally ill offenders', 'Forensic psychologists', 'Psychologists'])	[{'gender': 'Male', 'viaf': '2559502', 'name': 'Jonathan Kellerman'}]	1343712402	11	3	KILLER	2014	2013	no genre	Male
33454	['Andy Weir']	2014-03-16	set(['Survival', 'Mars (Planet)', 'Astronauts'])	[{'gender': 'Male', 'viaf': '307458091', 'name': 'Andy Weir'}]	1791424321	12	3	THE MARTIAN	2014	2011	no genre	Male
33455	['Lorrie Moore']	2014-03-16	set(['Short stories, American', 'Regret', 'United States', 'Apparitions', 'Loss (Psychology)', 'Divorced men', 'Manners and customs', 'Short stories'])	[{'gender': 'Female', 'viaf': '85852459', 'name': 'Lorrie Moore'}]	1261564925	13	1	BARK	2014	2014	no genre	Female
33456	['Alice Hoffman']	2014-03-16	set(['New York (State)--New York', 'New York (State)--New York--Coney Island', 'Russians', 'Immigrants', 'Young women', 'New York (State)'])	[{'gender': 'Female', 'viaf': '85550312', 'name': 'Alice Hoffman'}]	1783761368	14	2	THE MUSEUM OF EXTRAORDINARY THINGS	2014	2014	no genre	Female
33457	"[""Tawni O'Dell""]"	2000-05-14	set(['Teenage boys', 'Married women', 'Families', 'Brothers and sisters', 'Dysfunctional families', 'Pennsylvania', 'Family violence', 'Murder', 'Domestic fiction'])	"[{'gender': 'Female', 'viaf': '51862509', 'name': ""Tawni O'Dell""}]"	10502352	2	5	BACK ROADS	2000	1986	no genre	Female
33458	['Danielle Steel']	2000-05-14	set(['California--Los Angeles--Hollywood', 'California--Los Angeles', 'Man-woman relationships', 'Families', 'Weddings', 'Women lawyers', 'Motion picture producers and directors', 'Domestic fiction', 'Television writers'])	[{'gender': 'Female', 'viaf': '100238676', 'name': 'Danielle Steel'}]	499646034	3	4	THE WEDDING	2000	1997	no genre	Female
33463	['nslated by Seamus Heaney']	2000-05-14	set([])	[]		8	8	BEOWULF	2000	[]	needs label	NA
33464	['Johanna Lindsey']	2000-05-14	set(['Man-woman relationships', 'England', 'Inheritance and succession', 'Aristocracy (Social class)', 'Arranged marriage', 'Scotland', 'Betrothal', 'Social classes', 'Triangles (Interpersonal relations)', 'Scots', 'Historical fiction', 'Romance fiction', 'Manners and customs'])	[{'gender': 'Female', 'viaf': '28600', 'name': 'Johanna Lindsey'}]	366945	9	1	THE HEIR	2000	2000	romance	Female
33465	['Saul Bellow']	2000-05-14	set(['Biographers', 'Middle West', 'Male friendship', 'AIDS (Disease)--Patients', 'France', 'Americans', 'France--Paris', 'College teachers', 'Friendship'])	[{'gender': 'Male', 'viaf': '27060791', 'name': 'Saul Bellow'}]	6648859	10	1	RAVELSTEIN	2000	2000	no genre	Male
33467	['Robert B. Parker']	2000-05-14	set(['Private investigators', 'Detective and mystery stories', 'Race horses', 'Horse racing', 'Georgia', 'Spenser (Fictitious character)', 'Massachusetts--Boston'])	[{'gender': 'Male', 'viaf': '101763416', 'name': 'Robert B. Parker'}]	374393176	12	4	HUGGER MUGGER	2000	2000	no genre	Male
33469	['Jane Smiley']	2000-05-14	set(['Horsemen and horsewomen', 'Humorous stories', 'Horse racing'])	[{'gender': 'Female', 'viaf': '19714915', 'name': 'Jane Smiley'}]	44856	14	4	HORSE HEAVEN	2000	2000	no genre	Female
33470	['Jean M. Auel']	2011-05-08	set(['Europe', 'Ayla (Fictitious character)', 'Prehistoric peoples', 'MP3 (Audio coding standard)', 'Women healers', 'Women', 'Religious leaders', 'Glacial epoch'])	[{'gender': 'Female', 'viaf': '79487364', 'name': 'Jean M. Auel'}]	499839747	2	4	THE LAND OF PAINTED CAVES	2011	2002	no genre	Female
33471	['Michael Connelly']	2011-05-08	set(['California--Los Angeles', 'Detective and mystery stories', 'Lawyers', 'Attorney and client', 'Witnesses', 'Haller, Mickey (Fictitious character)', 'Legal stories', 'Trials (Murder)'])	[{'gender': '', 'viaf': '', 'name': 'Michael Connelly'}]	766355768	3	3	THE FIFTH WITNESS	2011	2011	legal	
33472	['Nora Roberts']	2011-05-08	set(['Wildfire fighters', 'Smokejumpers', 'MP3 (Audio coding standard)', 'Revenge', 'Women fire fighters', 'Montana', 'Women smokejumpers'])	[{'gender': 'Female', 'viaf': '66448023', 'name': 'Nora Roberts'}]	766893378	4	2	CHASING FIRE	2011	2011	no genre	Female
33473	['Mary Higgins Clark']	2011-05-08	set(['Kidnapping', 'New York (State)--New York', 'Missing children', 'New York (State)--New York--Manhattan', 'Women architects', 'Identity theft', 'Suspense fiction', 'Mothers of kidnapped children'])	[{'gender': 'Female', 'viaf': '100252785', 'name': 'Mary Higgins Clark'}]	762079917	5	3	I'LL WALK ALONE	2011	2006	no genre	Female
33474	['Amanda Quick']	2011-05-08	set([u'S\xe9rie Romance', 'England', 'Secret societies', 'MP3 (Audio coding standard)', 'Arcane Society (Imaginary organization)', 'England--London', 'Psychic ability', 'Alchemists'])	[{'gender': 'Female', 'viaf': '106085381', 'name': 'Amanda Quick'}]	3770604061	6	1	QUICKSILVER	2011	2011	no genre	Female
33475	['Iris Johansen']	2011-05-08	set(['Parents of murder victims', 'Psychological fiction', 'Missing persons', 'Families', 'Brothers and sisters', 'Secrecy', 'Tracking and trailing', 'Cults', 'Missing children', 'Rocky Mountains', 'Duncan, Eve (Fictitious character)', 'Suspense fiction', 'Facial reconstruction (Anthropology)', 'Painting', 'Missing persons--Investigation', 'Family secrets', 'Colorado', 'Women sculptors', 'Psychopaths', 'MP3 (Audio coding standard)', 'Human sacrifice', 'Forensic pathologists', 'Artists', 'Mothers and daughters', 'Fear'])	[{'gender': 'Female', 'viaf': '41851486', 'name': 'Iris Johansen'}]	1118883376	7	1	EVE	2011	2013	no genre	Female
33476	['Lisa Scottoline']	2011-05-08	set(['Pennsylvania', 'Bullying in schools', 'MP3 (Audio coding standard)', 'Motherhood', 'Interpersonal relations', 'Mothers and daughters', 'Domestic fiction', 'Explosions'])	[{'gender': 'Female', 'viaf': '74583551', 'name': 'Lisa Scottoline'}]	761282139	8	2	SAVE ME	2011	2011	no genre	Female
33477	['Ted Dekker']	2011-05-08	set(['Women drug addicts', 'Priests', 'Vigilantes'])	[{'gender': 'Male', 'viaf': '102152576', 'name': 'Ted Dekker'}]	666094749	9	1	THE PRIEST'S GRAVEYARD	2011	2011	no genre	Male
33479	['Danielle Steel']	2011-05-08	set(['Boardinghouses', 'Domestic fiction'])	[{'gender': 'Female', 'viaf': '100238676', 'name': 'Danielle Steel'}]	685381372	11	3	44 CHARLES STREET	2011	2011	no genre	Female
33480	['David Foster Wallace']	2011-05-08	set(['Work environment', 'United States. Internal Revenue Service', 'Illinois--Peoria', 'Internal revenue', 'Illinois', 'United States', 'Civil service', 'Tax returns--Data processing', 'Wallace, David Foster', 'Humanity', 'Office politics'])	[{'gender': 'Male', 'viaf': '68975157', 'name': 'David Foster Wallace'}]	862837293	12	4	THE PALE KING	2011	2011	no genre	Male
33481	['Jodi Picoult']	2011-05-08	set(['Frozen human embryos', 'Divorced people', 'Human reproductive technology', 'Human reproductive technology--Law and legislation', 'Interpersonal relations', 'Domestic fiction, American', 'Human reproductive technology--Religious aspects', 'Lesbian couples', 'Music therapists'])	[{'gender': 'Female', 'viaf': '37821799', 'name': 'Jodi Picoult'}]	766833544	13	8	SING YOU HOME	2011	2006	no genre	Female
33490	['Javier Sierra']	2006-04-30	set(['Last supper (Leonardo, da Vinci)', 'Christian heresies', 'Italy', 'Italy--Milan', 'Alexander VI, Pope, 1431-1503', 'Code and cipher stories', 'Clergy', 'Symbolism in art', 'Catholic Church'])	[{'gender': 'Male', 'viaf': '56838753', 'name': 'Javier Sierra'}]	46666195	10	4	THE SECRET SUPPER	2006	2004	no genre	Male
33491	['Ir\xc3\xa8ne N\xc3\xa9mirovsky']	2006-04-30	set([u'N\xe9mirovsky, Ir\xe8ne, 1903-1942', 'France', 'German Occupation of France (1940-1945)', 'Historical fiction', 'World War (1939-1945)'])	[{'gender': 'Female', 'viaf': '66484425', 'name': 'Ir\xc3\xa8ne N\xc3\xa9mirovsky'}]	35018136	11	1	SUITE FRANÇAISE	2006	2004	no genre	Female
33494	['Jodi Picoult']	2006-04-30	set(['Psychological fiction', 'Rape victims', 'Domestic fiction', 'Acquaintance rape', 'Alaska', 'Fathers and daughters', 'Comic books, strips, etc.--Authorship', 'Date rape', 'Short stories', 'Teenage girls'])	[{'gender': 'Female', 'viaf': '37821799', 'name': 'Jodi Picoult'}]	47374196	14	6	THE TENTH CIRCLE	2006	2006	no genre	Female
33495	['James Patterson', 'Richard DiLallo']	2009-09-20	set(['African Americans--Social conditions', 'Race relations', 'Cross, Alex (Fictitious character)', 'Lawyers', 'Presidents', 'Racism', 'Suspense fiction', 'Southern States'])	[{'gender': 'Male', 'viaf': '22272314', 'name': 'James Patterson'}, {'gender': 'Male', 'viaf': '86260246', 'name': 'Richard DiLallo'}]	1949223022	2	2	ALEX CROSS’S TRIAL	2009		no genre	Male
33496	['Pat Conroy']	2009-09-20	set(['South Carolina--Charleston', 'High school students', 'Bereavement', 'United States', 'Brothers--Death', 'Suicide victims--Family relationships', 'South Carolina', 'Friendship'])	[{'gender': 'Male', 'viaf': '9869643', 'name': 'Pat Conroy'}]	155624627	3	4	SOUTH OF BROAD	2009	2009	no genre	Male
